drug,fold,blend,meta,alpha,intercept,n_train,n_test,omics,weight
TAMOXIFEN,2,stacking,ridge,1.0,-0.2714178033408312,162,41,mrna,0.5862633389328769
TAMOXIFEN,3,stacking,ridge,1.0,-0.3364941626365052,162,41,mrna,0.6278848641866754
TAMOXIFEN,4,stacking,ridge,1.0,-0.0736103738603715,163,40,mrna,0.8310845189270906
TAMOXIFEN,5,stacking,ridge,1.0,-0.0905446503631846,163,40,mrna,0.6836138626926754
TANESPIMYCIN,1,stacking,ridge,1.0,0.04893259850368395,162,41,mrna,1.0904570661120447
TANESPIMYCIN,2,stacking,ridge,1.0,0.04825281709834961,162,41,mrna,0.818782605842793
TANESPIMYCIN,3,stacking,ridge,1.0,0.04378156080040008,162,41,mrna,0.8657254132567171
TANESPIMYCIN,4,stacking,ridge,1.0,0.005542383992504035,163,40,mrna,0.575074000887866
TANESPIMYCIN,5,stacking,ridge,1.0,0.057372623259981215,163,40,mrna,0.777464469883105
TEMOZOLOMIDE,1,stacking,ridge,1.0,-0.32365423621140454,162,41,mrna,0.690609881019391
TEMOZOLOMIDE,2,stacking,ridge,1.0,0.12163946902934963,162,41,mrna,0.7603458005584864
TEMOZOLOMIDE,3,stacking,ridge,1.0,-0.4019935775818926,162,41,mrna,0.5926715913301207
TEMOZOLOMIDE,4,stacking,ridge,1.0,-0.3509480234465654,163,40,mrna,0.7727658765297449
TEMOZOLOMIDE,5,stacking,ridge,1.0,-0.39037036917456547,163,40,mrna,0.7218031338794464
TRAMETINIB,1,stacking,ridge,1.0,0.13705174160282607,162,41,mrna,0.6573516133128204
TRAMETINIB,2,stacking,ridge,1.0,0.11326162689054509,162,41,mrna,0.6789612821204818
TRAMETINIB,3,stacking,ridge,1.0,-0.02423943594963318,162,41,mrna,0.49165857713601047
TRAMETINIB,4,stacking,ridge,1.0,0.007615402082980283,163,40,mrna,0.8764296727839337
TRAMETINIB,5,stacking,ridge,1.0,-0.018170844023827626,163,40,mrna,0.9007623467328217
VELIPARIB,1,stacking,ridge,1.0,0.24951310547374117,162,41,mrna,0.8138017928745103
VELIPARIB,2,stacking,ridge,1.0,0.22360114243330198,162,41,mrna,0.7573326296453771
VELIPARIB,3,stacking,ridge,1.0,0.1979255372514066,162,41,mrna,0.6742412763679481
VELIPARIB,4,stacking,ridge,1.0,0.33181565913780053,163,40,mrna,0.7312136005056101
VELIPARIB,5,stacking,ridge,1.0,-0.6575633950526161,163,40,mrna,0.6103888492672098
VISMODEGIB,1,stacking,ridge,1.0,0.33195426165559905,162,41,mrna,0.4991029408127266
VISMODEGIB,2,stacking,ridge,1.0,-0.03224950927678272,162,41,mrna,0.4824655512576184
VISMODEGIB,3,stacking,ridge,1.0,0.009043292254740543,162,41,mrna,0.5647167719773881
VISMODEGIB,4,stacking,ridge,1.0,-0.049709692586485055,163,40,mrna,0.6059698711758318
VISMODEGIB,5,stacking,ridge,1.0,0.21945220894027528,163,40,mrna,0.744965435048426
VORINOSTAT,1,stacking,ridge,1.0,-0.13641134766546825,162,41,mrna,0.5207158056053982
VORINOSTAT,2,stacking,ridge,1.0,-0.05901536693219922,162,41,mrna,0.6118605708712441
VORINOSTAT,3,stacking,ridge,1.0,-0.021148749187292037,162,41,mrna,0.9217584798694956
VORINOSTAT,4,stacking,ridge,1.0,-0.03790762470446074,163,40,mrna,0.7198975483273896
VORINOSTAT,5,stacking,ridge,1.0,-0.08904333708204981,163,40,mrna,0.7269710815410986
WEE1 INHIBITOR,1,stacking,ridge,1.0,-0.3972435118626785,162,41,mrna,0.34598690694834333
WEE1 INHIBITOR,2,stacking,ridge,1.0,-0.011829963335191263,162,41,mrna,0.5828759064242569
WEE1 INHIBITOR,3,stacking,ridge,1.0,0.004862684553827545,162,41,mrna,0.38374230551381755
WEE1 INHIBITOR,4,stacking,ridge,1.0,-0.17684774033245088,163,40,mrna,0.24027699255531718
WEE1 INHIBITOR,5,stacking,ridge,1.0,-0.10969678701705199,163,40,mrna,0.4340127036746808
YK-4-279,1,stacking,ridge,1.0,0.21638598060903314,162,41,mrna,0.8399202978702086
YK-4-279,2,stacking,ridge,1.0,0.06360374785586753,162,41,mrna,0.7318975647489756
YK-4-279,3,stacking,ridge,1.0,-0.3600951040326479,162,41,mrna,0.3352328193262546
YK-4-279,4,stacking,ridge,1.0,0.10607388919289895,163,40,mrna,0.6863650988861368
YK-4-279,5,stacking,ridge,1.0,-0.2702241520617348,163,40,mrna,0.8104048064069872
ZM447439,1,stacking,ridge,1.0,-0.3982914112459015,162,41,mrna,0.8102971152393451
ZM447439,2,stacking,ridge,1.0,-0.3249972447049898,162,41,mrna,0.8802569054959419
ZM447439,3,stacking,ridge,1.0,-0.5030510447376355,162,41,mrna,0.6939801261346056
ZM447439,4,stacking,ridge,1.0,-0.09324300858718382,163,40,mrna,0.9453468728851351
