drug,fold,blend,meta,alpha,intercept,n_train,n_test,omics,weight
SN-38,3,stacking,ridge,1.0,-0.7594412281090497,162,41,mrna,0.8554590569387213
SN-38,4,stacking,ridge,1.0,-0.900540292717185,163,40,mrna,0.9777585079893395
SN-38,5,stacking,ridge,1.0,0.10268597774671218,163,40,mrna,0.8108581595728349
TALAZOPARIB,1,stacking,ridge,1.0,1.2440391569264713,162,41,mrna,0.5510653265674561
TALAZOPARIB,2,stacking,ridge,1.0,0.38329648602868027,162,41,mrna,0.6048287427550842
TALAZOPARIB,3,stacking,ridge,1.0,1.2982413500719303,162,41,mrna,0.5168982599009958
TALAZOPARIB,4,stacking,ridge,1.0,1.478721790431649,163,40,mrna,0.5457665700337448
TALAZOPARIB,5,stacking,ridge,1.0,1.2285176971634864,163,40,mrna,0.5146470255010754
TAMOXIFEN,1,stacking,ridge,1.0,-0.008621006262502728,162,41,mrna,0.5582619603438553
TAMOXIFEN,2,stacking,ridge,1.0,-0.29893421057754566,162,41,mrna,0.6428069323084716
TAMOXIFEN,3,stacking,ridge,1.0,-0.35750074678367616,162,41,mrna,0.6423657029329823
TAMOXIFEN,4,stacking,ridge,1.0,-0.1411366064647286,163,40,mrna,0.8287454301786271
TAMOXIFEN,5,stacking,ridge,1.0,-0.08061239180724789,163,40,mrna,0.6279087557361147
TANESPIMYCIN,1,stacking,ridge,1.0,0.04501608744281688,162,41,mrna,1.0264167506406563
TANESPIMYCIN,2,stacking,ridge,1.0,0.04973809748522989,162,41,mrna,0.798206435025993
TANESPIMYCIN,3,stacking,ridge,1.0,0.03890214780862139,162,41,mrna,0.8626040683811412
TANESPIMYCIN,4,stacking,ridge,1.0,0.03615963554718171,163,40,mrna,0.5769475340316966
TANESPIMYCIN,5,stacking,ridge,1.0,0.05388060314465018,163,40,mrna,0.745018782810398
TEMOZOLOMIDE,1,stacking,ridge,1.0,-0.6948003922681121,162,41,mrna,0.5742030196324223
TEMOZOLOMIDE,2,stacking,ridge,1.0,-0.1258041949644495,162,41,mrna,0.4000231607561746
TEMOZOLOMIDE,3,stacking,ridge,1.0,-0.4406693885124904,162,41,mrna,0.36309455246465716
TEMOZOLOMIDE,4,stacking,ridge,1.0,-0.5300843054743689,163,40,mrna,0.646463606009248
TEMOZOLOMIDE,5,stacking,ridge,1.0,-0.7083119137177691,163,40,mrna,0.48976690864307976
TRAMETINIB,1,stacking,ridge,1.0,0.08046733121634075,162,41,mrna,0.6990933340928424
TRAMETINIB,2,stacking,ridge,1.0,0.0894263915936585,162,41,mrna,0.7321260147769971
TRAMETINIB,3,stacking,ridge,1.0,-0.03336241384237637,162,41,mrna,0.5322802442199891
TRAMETINIB,4,stacking,ridge,1.0,-0.04573391866195631,163,40,mrna,0.9599547452950088
TRAMETINIB,5,stacking,ridge,1.0,-0.03260534860204267,163,40,mrna,0.8915196233211382
VELIPARIB,1,stacking,ridge,1.0,0.22126338883327623,162,41,mrna,0.7334956552260257
VELIPARIB,2,stacking,ridge,1.0,0.24858433844239247,162,41,mrna,0.7762993530007203
VELIPARIB,3,stacking,ridge,1.0,0.2618025982560015,162,41,mrna,0.6383108115229954
VELIPARIB,4,stacking,ridge,1.0,0.4716357613303743,163,40,mrna,0.7511455647438786
